columna,razon_eliminacion
DMA162Q01R,missing >40%
CMA162Q01TT,missing >40%
CMA162Q01F,missing >40%
CMA162Q01A,missing >40%
CMA162Q01V,missing >40%
CMA162Q01VS,missing >40%
CMA162Q02S,missing >40%
DMA162Q02RA,missing >40%
DMA162Q02RB,missing >40%
DMA162Q02RC,missing >40%
CMA162Q02TT,missing >40%
CMA162Q02F,missing >40%
CMA162Q02A,missing >40%
CMA162Q02V,missing >40%
CMA162Q02VS,missing >40%
CMA162Q03S,missing >40%
DMA162Q03RA,missing >40%
DMA162Q03RB,missing >40%
DMA162Q03RC,missing >40%
CMA162Q03TT,missing >40%
CMA162Q03F,missing >40%
CMA162Q03A,missing >40%
CMA162Q03V,missing >40%
CMA162Q03VS,missing >40%
CMA154Q01S,missing >40%
DMA154Q01R,missing >40%
CMA154Q01TT,missing >40%
CMA154Q01F,missing >40%
CMA154Q01A,missing >40%
CMA154Q01V,missing >40%
CMA154Q01VS,missing >40%
CMA154Q02S,missing >40%
DMA154Q02R,missing >40%
CMA154Q02TT,missing >40%
CMA154Q02F,missing >40%
CMA154Q02A,missing >40%
CMA154Q02V,missing >40%
CMA154Q02VS,missing >40%
DMA154Q03C,missing >40%
CMA154Q03TT,missing >40%
CMA154Q03F,missing >40%
CMA154Q03A,missing >40%
CMA154Q03V,missing >40%
CMA154Q03VS,missing >40%
CMA131Q01S,missing >40%
DMA131Q01R,missing >40%
CMA131Q01TT,missing >40%
CMA131Q01F,missing >40%
CMA131Q01A,missing >40%
CMA131Q01V,missing >40%
CMA131Q01VS,missing >40%
CMA131Q02S,missing >40%
DMA131Q02R,missing >40%
CMA131Q02TT,missing >40%
CMA131Q02F,missing >40%
CMA131Q02A,missing >40%
CMA131Q02V,missing >40%
CMA131Q02VS,missing >40%
CMA131Q03S,missing >40%
CMA131Q03TT,missing >40%
CMA131Q03F,missing >40%
CMA131Q03A,missing >40%
CMA131Q03V,missing >40%
CMA131Q03VS,missing >40%
CMA131Q04S,missing >40%
CMA131Q04TT,missing >40%
CMA131Q04F,missing >40%
CMA131Q04A,missing >40%
CMA131Q04V,missing >40%
CMA131Q04VS,missing >40%
CMA152Q01S,missing >40%
DMA152Q01RA,missing >40%
DMA152Q01RB,missing >40%
DMA152Q01RC,missing >40%
CMA152Q01TT,missing >40%
CMA152Q01F,missing >40%
CMA152Q01A,missing >40%
CMA152Q01V,missing >40%
CMA152Q01VS,missing >40%
CMA152Q02S,missing >40%
DMA152Q02RA,missing >40%
CMA152Q02TT,missing >40%
CMA152Q02F,missing >40%
CMA152Q02A,missing >40%
CMA152Q02V,missing >40%
CMA152Q02VS,missing >40%
DMA103Q01C,missing >40%
CMA103Q01TT,missing >40%
CMA103Q01F,missing >40%
CMA103Q01A,missing >40%
CMA103Q01V,missing >40%
CMA103Q01VS,missing >40%
CMA103Q02S,missing >40%
CMA103Q02TT,missing >40%
CMA103Q02F,missing >40%
CMA103Q02A,missing >40%
CMA103Q02V,missing >40%
CMA103Q02VS,missing >40%
CMA103Q04S,missing >40%
DMA103Q04RA,missing >40%
DMA103Q04RB,missing >40%
CMA103Q04TT,missing >40%
CMA103Q04F,missing >40%
CMA103Q04A,missing >40%
CMA103Q04V,missing >40%
CMA103Q04VS,missing >40%
CMA103Q05S,missing >40%
DMA103Q05RA,missing >40%
CMA103Q05TT,missing >40%
CMA103Q05F,missing >40%
CMA103Q05A,missing >40%
CMA103Q05V,missing >40%
CMA103Q05VS,missing >40%
CMA130Q01S,missing >40%
CMA130Q01TT,missing >40%
CMA130Q01F,missing >40%
CMA130Q01A,missing >40%
CMA130Q01V,missing >40%
CMA130Q01VS,missing >40%
CMA130Q02S,missing >40%
DMA130Q02RA,missing >40%
DMA130Q02RB,missing >40%
CMA130Q02TT,missing >40%
CMA130Q02F,missing >40%
CMA130Q02A,missing >40%
CMA130Q02V,missing >40%
CMA130Q02VS,missing >40%
CMA130Q03S,missing >40%
DMA130Q03R,missing >40%
CMA130Q03TT,missing >40%
