ST250Q02JA,ST250Q03JA,ST250Q05JA,ST006Q02JA,ST006Q03JA,ST008Q01JA,ST008Q02JA,ST008Q03JA,SC183Q02JA,SC183Q04JA,SC184Q01JA,SC184Q02JA,SC184Q03JA,SC184Q04JA,SC184Q05JA,SC184Q06JA,SC184Q07JA,SC215Q01JA,SC217Q04JA,SC217Q05JA,PRIVATESCH,ST250D06JA,ST250D07JA,ST251D08JA,ST251D09JA,ST259Q01JA,ST251Q03JA,ST251Q04JA,ST254Q01JA,ST254Q06JA,ST038Q05NA,ST038Q06NA,ST038Q07NA,ST265Q01JA,ST265Q02JA,ST265Q03JA,ST265Q04JA,ST270Q01JA,ST270Q02JA,ST270Q03JA,ST270Q04JA,ST268Q07JA,ST268Q08JA,ST268Q09JA,ST337Q03JA,ST337Q05JA,ST337Q08JA,SC182Q06WA02,SC182Q07JA02,SC182Q08JA02,SC172Q04JA,SC172Q07JA,SC188Q03JA,SC202Q01JA,SC202Q02JA,SC202Q03JA,SC202Q04JA,SC202Q05JA,SC202Q08JA,SC202Q10JA,SC202Q11JA,SC202Q12JA,SC204Q01JA,SC204Q02JA,SC204Q05JA,SC205Q01JA,SC205Q02JA,SC205Q03JA,SC205Q07JA,SC208Q01JA,SC208Q02JA,SC208Q03JA,SC208Q04JA,SC208Q07JA,SC208Q08JA,SC208Q09JA,SC216Q02JA,SC216Q03JA,SC216Q05JA,SC216Q06JA,SC216Q07JA,SC216Q09JA,SC223Q05JA,SC223Q09JA,SCHLTYPE,SCSUPRTED,FL164Q02HA,FL164Q03HA,FL164Q04HA,FL164Q05HA,FL164Q06HA,FL164Q07HA,FL164Q08HA,FL164Q11HA,FL164Q15HA,FL164Q16HA,FL166Q05HA,FL166Q06HA,FL166Q07HA,FL174Q05JA,FL174Q07JA,FL167Q01HA,FL167Q05HA,FL162Q01HA,FL162Q02HA,FL162Q03HA,FL162Q04HA,FL162Q05HA,FL162Q06HA,FL163Q01HA,FL163Q03HA,FL163Q04HA,FL163Q05HA,FL171Q03JA,FL171Q04JA,FL171Q05JA,FL171Q10JA,FL171Q11JA,FL169Q03HA,FL169Q04HA,FL172Q01JA,PROGN,GRADE,SRESPCUR,SRESPRES,RS1_TEST,MS2_LEV,VER_DAT_stu,VER_DAT,clase_lca,score_rendimiento,prob_clase_0,prob_clase_1,prob_clase_2,prob_clase_3
1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,2,1,3,0,0,0,0,0,0,0,1,2,1,1,0,2,0,0,1,1,1,0,1,0,1,1,0,3,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,2,1,1,2,2,1,0,0,1,0,1,1,0,1,1,0,0,2,1,0,0,0,2,0,1,1,1,0,1,0,2,2,1,0,1,0,0,1,0,1,2,1,2,1,0,2,0,1,2,1,1,0,1,4,1,0,1,0,1,1,0,380.1058666666666,0.999186539192567,4.9459532184257883e-23,3.71739725712342e-64,0.000813460807438296
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,1,1,0,1,3,3,3,3,2,2,2,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,2,1,1,2,1,2,0,1,2,0,0,1,1,0,0,0,0,0,0,2,0,3,2,3,2,3,0,0,2,0,1,1,0,1,0,0,0,1,273.79426666666666,2.088992021979675e-08,0.9999999780253577,7.64438836427279e-73,1.0847252261917565e-09
0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2,2,8,2,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,5,0,0,3,0,0,2,2,0,0,0,2,1,0,2,1,0,0,1,0,1,0,2,2,1,1,2,1,1,0,1,2,2,0,2,1,1,0,0,1,1,0,0,0,2,0,1,2,2,1,1,1,2,0,0,0,1,0,1,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,291.23906666666664,0.5711799018175043,1.2315105876359135e-16,2.6093089868528315e-93,0.42882009818249617
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,3,1,1,2,0,3,1,1,0,0,2,1,1,1,2,2,1,2,2,2,1,2,2,1,3,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,3,1,0,1,3,1,1,1,402.06673333333333,7.016500882502992e-09,0.9999999929809036,1.9559197464718797e-66,2.6008482568500926e-12
0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,3,4,0,0,0,1,0,1,0,1,2,0,0,2,2,2,0,1,1,1,0,0,0,7,1,3,0,1,0,3,4,4,3,5,3,4,2,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,2,3,2,2,0,0,1,1,1,1,0,0,0,2,0,1,2,2,1,1,1,2,0,0,0,1,0,1,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,1,3,4,4,1,0,1,1,2,402.94886666666673,1.347066344759484e-124,9.53539310886853e-152,1.0,5.039845747002984e-113
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,3,0,0,0,0,3,0,3,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,3,0,0,0,0,0,2,1,1,1,2,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,1,0,1,1,1,0,0,0,0,0,2,1,2,1,3,1,0,1,0,1,1,3,252.57366666666667,1.231150051146732e-09,7.811357518878841e-41,6.977945256335121e-92,0.9999999987688568
1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,2,5,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,2,2,0,0,0,3,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,1,0,1,2,1,1,0,2,1,2,0,0,2,2,0,1,1,0,1,0,0,0,1,0,0,0,2,2,2,0,0,0,2,3,3,1,0,1,1,1,2,3,1,2,2,2,0,0,0,0,0,0,2,0,1,3,0,0,3,0,0,0,0,413.8298666666667,0.9991888833930656,4.033312857974649e-44,5.591682051299975e-113,0.0008111166069414171
0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,5,0,0,0,0,1,0,1,2,0,2,2,2,0,0,2,0,0,0,3,3,3,0,3,1,3,0,1,2,3,2,2,1,3,3,4,3,0,0,0,0,0,0,0,2,2,0,0,1,1,0,3,2,3,3,2,3,1,1,0,2,1,2,1,1,0,2,1,2,1,2,1,1,1,0,0,3,2,0,1,0,1,1,3,1,1,1,1,0,0,0,0,0,1,0,0,1,4,4,4,4,3,2,2,2,401.14136666666656,1.2647260493554615e-121,1.156616023791316e-85,1.0,1.9878563692611934e-125
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,1,0,1,0,0,0,1,2,1,1,0,0,2,0,0,0,0,1,1,1,0,0,0,3,0,1,0,3,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,2,1,1,0,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,0,1,1,2,2,2,3,2,3,3,3,3,3,1,3,4,3,4,1,1,0,1,3,2,3,1,0,1,1,1,424.6281333333334,5.207280196165639e-06,0.9999947927198044,4.828888327541478e-24,4.350577599749636e-28
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,2,1,1,1,0,2,2,0,0,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,1,1,0,1,0,2,1,2,1,0,1,1,2,0,1,1,1,1,1,2,1,1,2,2,2,2,2,1,2,0,0,0,1,0,0,3,0,2,0,0,0,1,0,4,0,0,0,0,0,0,1,3,1,0,3,0,0,0,3,379.9435333333334,0.3898339175037318,8.887982765159365e-18,2.5265935007631664e-85,0.6101660824962613
